iter	Passed	Remaining
1650	2373	40757
1651	2374	40750
1652	2377	40772
1653	2378	40770
1654	2380	40765
1655	2382	40779
1656	2384	40780
1657	2385	40773
1658	2386	40765
1659	2387	40756
1660	2388	40749
1661	2389	40748
1662	2391	40746
1663	2392	40741
1664	2393	40733
1665	2394	40728
1666	2398	40758
1667	2401	40790
1668	2404	40813
1669	2405	40813
1670	2408	40825
1671	2409	40820
1672	2410	40820
1673	2412	40819
1674	2413	40813
1675	2414	40810
1676	2416	40804
1677	2417	40806
1678	2418	40798
1679	2419	40791
1680	2420	40780
1681	2421	40772
1682	2422	40764
1683	2424	40768
1684	2426	40768
1685	2427	40764
1686	2428	40754
1687	2429	40746
1688	2430	40741
1689	2432	40740
1690	2433	40732
1691	2434	40734
1692	2436	40733
1693	2438	40748
1694	2440	40745
1695	2442	40756
1696	2443	40747
1697	2444	40740
1698	2445	40732
1699	2446	40724
1700	2447	40716
1701	2448	40706
1702	2449	40697
1703	2450	40686
1704	2451	40679
1705	2452	40669
1706	2453	40660
1707	2454	40650
1708	2455	40641
1709	2456	40640
1710	2459	40658
1711	2463	40698
1712	2465	40706
1713	2466	40699
1714	2468	40705
1715	2471	40740
1716	2473	40737
1717	2474	40736
1718	2475	40731
1719	2476	40725
1720	2478	40721
1721	2479	40713
1722	2480	40707
1723	2481	40700
1724	2482	40693
1725	2483	40687
1726	2486	40701
1727	2487	40694
1728	2488	40687
1729	2489	40679
1730	2490	40677
1731	2492	40678
1732	2493	40671
1733	2494	40669
1734	2495	40660
1735	2497	40657
1736	2499	40662
1737	2500	40666
1738	2504	40699
1739	2506	40710
1740	2508	40708
1741	2509	40701
1742	2510	40706
1743	2512	40701
1744	2514	40713
1745	2515	40704
1746	2516	40695
1747	2517	40694
